,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
HI,0.9450996261357938,0.9488507338285396,0.9206715611917352,0.9523064737127388,0.9537142156095277,0.9314700363636552,0.9107651147612273,0.9621294347845216,0.922073462636571,0.9081375020245264,1.0,0.9599389936188918,0.9164966531365603,0.9105326577696158,0.9394781954534306,0.9398253131316242,0.9430007356899014,0.9476136658319406,0.9592618012456605,0.9667530606524575,0.9359288847519294,0.7907660413460762,0.9237480132975221,0.9456067357315691,0.9355117925017311,0.967578601092501,0.9341259468900486,0.8448378121608725,0.9210419153870933,0.9449281321142674,0.9524111656798261,0.9611972037688925,0.945000768135938,0.9442514923103122,0.8750999920404056,0.9250919952725528,0.9613509251058924,0.9731082495575596,0.9311022568539723,0.9507454893542067,0.9600107415462953,0.955465618450237,0.9398264118147346,0.9468113766281009,0.9741730851855932,0.9752412728999712,0.9722167781030605,0.9618228962668133,0.9267500382694522,0.9527405141975279
ID,0.9825901656753094,0.9553155244809243,0.9664461133487203,0.9808153016112527,0.9566880783983056,0.962907160238181,0.9141279255725874,0.9693519442740716,0.9558942510289469,0.9620150622297855,0.9599389936188918,1.0,0.9660045565784487,0.9544616773490228,0.9736521057273374,0.9750974200777879,0.972830012471556,0.9714866303345894,0.9568691603736611,0.9714369498536902,0.9454765159926707,0.8727837284533888,0.9689257538434675,0.98264536839234,0.9755055706552381,0.983806353886678,0.9699149055160111,0.9015319079760529,0.9350427627872396,0.9532842247300461,0.985014991909524,0.957083422468944,0.9777307760197507,0.9164661342534135,0.9344441784273413,0.9498416896036921,0.9949188548178336,0.9703872591481832,0.9365119975188648,0.9830363598475231,0.9711186850884995,0.9813481835814484,0.9431858027310651,0.9904161975880021,0.9629893606151486,0.9750697519423249,0.9949722238881138,0.9785413344246229,0.9757074416479836,0.965250155167388
IL,0.9837117402775757,0.9011787482411509,0.9469659668099831,0.9710873030231061,0.9523083281212048,0.9333531562616001,0.9585162249647261,0.9796202814766363,0.9491075621695353,0.9825878898642638,0.9164966531365603,0.9660045565784487,1.0,0.9748759866615677,0.9639244069024436,0.9654485062959203,0.9750307357726177,0.9263734181942119,0.9691468075252089,0.9700935903886402,0.9675368199140645,0.9394634508544221,0.9838693204310427,0.9739358651432873,0.9889032818985971,0.9396521788555494,0.9619083294025481,0.9217996964251218,0.9655718103908081,0.9739107461331087,0.9708373802292511,0.9663053087320699,0.9791809678885705,0.8371519355342961,0.9782637045013157,0.9007376106686833,0.9568316315322034,0.9705605210780385,0.972981012557459,0.9813230590743648,0.937964403100483,0.9670580543940971,0.8837545988531725,0.945360212474469,0.9598522377127994,0.9647125010551881,0.9655985799808888,0.9517626820903735,0.9914339463983055,0.9064021452931498
IN,0.984193718735206,0.9067798746841865,0.9022555345537621,0.977922575835761,0.9165613997212385,0.9582912425231558,0.92183931364101,0.950047379749581,0.8947471543254425,0.9779912791708204,0.9105326577696158,0.9544616773490228,0.9748759866615677,1.0,0.9821593625424935,0.9798902715844451,0.9915767366874396,0.934368289853873,0.9498030051332454,0.9305421821671611,0.9541939822422901,0.9513167525486942,0.9653943376791466,0.9763411899379256,0.9846719800298551,0.9424994587204887,0.9880020759432664,0.8578072785298367,0.9350421581071482,0.9359159427521441,0.9624589080772269,0.948803601731089,0.9873100505078098,0.8772901770608262,0.9928364254122717,0.9200900329140776,0.9522170413186177,0.9625302224709354,0.927966353265968,0.9822503459796408,0.9605647094927376,0.9821064221530696,0.9153035452709652,0.9579787387962203,0.948759603169729,0.9404955632876117,0.958241186579055,0.9637392342299654,0.9848519321998488,0.906240298334583
IA,0.9855793554058334,0.9560283235974653,0.9155566310151573,0.9900335654572193,0.9328374435940856,0.9831498340736763,0.9085508577488902,0.9575712580231368,0.9081177810116302,0.9593174684074807,0.9394781954534306,0.9736521057273374,0.9639244069024436,0.9821593625424935,1.0,0.9954335916297794,0.9950406567300443,0.9757401519848885,0.959781991861576,0.9500137612009675,0.9580306808696335,0.9013450114904266,0.9754289810578154,0.9882917717465397,0.9841181704210545,0.9829771745407043,0.9959215537340502,0.840916899162691,0.9366068870433715,0.9436104501916007,0.9750533472295942,0.9580893087023467,0.9851832930638249,0.9349387018822117,0.9599307887487445,0.9606991793109932,0.9811560648256277,0.9726719824109551,0.9257684763628129,0.9858535299130284,0.9910032051224724,0.9902355737372729,0.952292648711545,0.983552067387359,0.9671464912030059,0.9645890128090788,0.9800121601404528,0.9923342368164066,0.988380286049032,0.964332542314294
KS,0.9895275704449882,0.9658682348184854,0.9290307072732652,0.9952659891212989,0.9432393046479991,0.9868480914330676,0.9266043624427354,0.9646919999074245,0.9209718430796727,0.9700229648871905,0.9398253131316242,0.9750974200777879,0.9654485062959203,0.9798902715844451,0.9954335916297794,1.0,0.995164968185577,0.9836351368099637,0.9699765749775745,0.9571234443097357,0.9714212246537447,0.8994649420405768,0.9815945266942201,0.9934313124807816,0.9905338716782515,0.9828150080958552,0.996484720822509,0.8533633456232615,0.9544774635890455,0.9556714961590178,0.9811776968231304,0.9689325557946925,0.9899375222118635,0.9358487073812676,0.9581079587251587,0.973227801169755,0.9794198589982853,0.9771849848137691,0.9380035724261713,0.991965900699841,0.9901144165113228,0.9947751325521873,0.9660684255006192,0.9835520579247596,0.9725711177782687,0.9715462512476318,0.981252022748462,0.9903516207394624,0.9864005054619539,0.9656790873757386
KY,0.9942975518181981,0.9483742153064555,0.9202134147418731,0.994330613436079,0.9380915591093436,0.9762898944053182,0.9357239922676189,0.9705986859888126,0.9141058366860363,0.9743873872339825,0.9430007356899014,0.972830012471556,0.9750307357726177,0.9915767366874396,0.9950406567300443,0.995164968185577,1.0,0.9678270709349559,0.9726497641308548,0.9573720624090677,0.9714242002023251,0.9158227751678496,0.9771035752259666,0.9927952719867733,0.9923181127840304,0.9745719984393508,0.9962438703210909,0.8541833997847098,0.9533581113653764,0.9584989014565864,0.9817327357421003,0.9723581334316834,0.9958188601604466,0.9201265788063743,0.9740377814876882,0.9525629646905964,0.9744609488085597,0.9832685071896101,0.9439238241447518,0.994481054432323,0.9856446298122251,0.9957332543694236,0.9474968420715947,0.9776333265145825,0.9759063830625471,0.9693892574625821,0.9793537367658892,0.9871269177795835,0.9911296134188805,0.9489216035505227
LA,0.9670800958155873,0.9927625987957416,0.9270892530878672,0.98285143555357,0.9330924004275685,0.9743710747998935,0.8953767430291245,0.9486664176772396,0.9154409947567778,0.9285586030668831,0.9476136658319406,0.9714866303345894,0.9263734181942119,0.934368289853873,0.9757401519848885,0.9836351368099637,0.9678270709349559,1.0,0.9510842971451023,0.9523602253780787,0.9435195531054003,0.8189795839927626,0.9563824889612389,0.9803551480920267,0.9616917619213114,0.9909970199034519,0.9737529037268065,0.8276872688439536,0.9274620414341498,0.9384072588314619,0.9762869790525216,0.9520688689359812,0.9632600268844816,0.958754306872752,0.8983987938571775,0.9935436379260473,0.9765908278089802,0.9620550867928628,0.9094272188061562,0.9707889290769224,0.9851372540265719,0.9760833820048547,0.9799074751686673,0.9818452289851449,0.9632316127903745,0.9686543400881519,0.9747450547575823,0.9866617167939241,0.9556465712830706,0.9917108926456901
ME,0.9774128254755572,0.942346910851306,0.937811998613437,0.9775628129156021,0.9683239110487935,0.9444552673139387,0.9817907345260303,0.9932335079685881,0.943696461614796,0.9605053588014302,0.9592618012456605,0.9568691603736611,0.9691468075252089,0.9498030051332454,0.959781991861576,0.9699765749775745,0.9726497641308548,0.9510842971451023,1.0,0.9873803396057526,0.9932793143996087,0.868966005607432,0.9732617923249791,0.9756889334820069,0.981172006083463,0.9605393346088914,0.9580296578200458,0.8764340658902272,0.9900152751413229,0.9943323868022619,0.9725934250189932,0.9988952928247113,0.977706571302205,0.903824570680629,0.9327798393117849,0.9280124411003108,0.9552179514105307,0.9932754090907912,0.9870999467676411,0.9815900790504566,0.9618167967836684,0.975585515422716,0.9294489179981887,0.9432170694576055,0.9943437475489131,0.9913537568776318,0.9697581866828909,0.966016088226229,0.9688836766663639,0.9377903677606891
MD,0.970437076990635,0.9454749587555821,0.9652671108865188,0.9702226874842049,0.9796298992834255,0.9298933145481825,0.966727809478935,0.9943461265151212,0.9706484331590743,0.9482780306201166,0.9667530606524575,0.9714369498536902,0.9700935903886402,0.9305421821671611,0.9500137612009675,0.9571234443097357,0.9573720624090677,0.9523602253780787,0.9873803396057526,1.0,0.9727519494315127,0.8495053537676007,0.9712944394763866,0.9693479420284481,0.9711980112686669,0.9645552151953436,0.9432569230192356,0.9122251169280344,0.9739861315349446,0.9919604525059448,0.9765932197914979,0.9862482892748634,0.9637439910360074,0.8910143405766658,0.914818592792498,0.9248494485886757,0.9657038266728695,0.9857273576931332,0.9839415668435486,0.972414287373532,0.9497468909427231,0.9623746161163744,0.9140649499619773,0.9467979106328173,0.9864846511364842,0.9964415315810563,0.9758264012654374,0.9625764029316211,0.9654914590431687,0.948157337348434
